"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","final_cluster","Cluster_1","Cluster_2","Cluster_3","Cluster_4","Cluster_5","Cluster_6","Cluster_7","cell_name"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell1"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell2"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell3"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell4"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell5"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell6"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell7"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell8"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell9"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell10"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell11"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell12"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell13"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell14"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell15"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell16"
7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,1,"Cell17"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell18"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell19"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell20"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell21"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell22"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell23"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell24"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell25"
7,7,7,6,7,7,7,7,7,7,7,0,0,0,0,0,0.1,0.9,"Cell26"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell27"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell28"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell29"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell30"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell31"
7,7,7,6,7,7,7,7,7,7,7,0,0,0,0,0,0.1,0.9,"Cell32"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell33"
3,6,3,3,3,3,3,3,3,3,3,0,0,0.9,0,0,0.1,0,"Cell34"
7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,1,"Cell35"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell36"
7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,1,"Cell37"
3,6,3,3,3,3,3,3,3,3,3,0,0,0.9,0,0,0.1,0,"Cell38"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell39"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell40"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell41"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell42"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell43"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell44"
7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,1,"Cell45"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell46"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell47"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell48"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell49"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell50"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell51"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell52"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell53"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell54"
7,7,7,6,7,7,7,7,7,7,7,0,0,0,0,0,0.1,0.9,"Cell55"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell56"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell57"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell58"
7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,1,"Cell59"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell60"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell61"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell62"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell63"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell64"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell65"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell66"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell67"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell68"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell69"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell70"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell71"
7,7,7,6,7,7,7,7,7,7,7,0,0,0,0,0,0.1,0.9,"Cell72"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell73"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell74"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell75"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell76"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell77"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell78"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell79"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell80"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell81"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell82"
7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,1,"Cell83"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell84"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell85"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell86"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell87"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell88"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell89"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell90"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell91"
3,6,3,3,3,3,3,3,3,3,3,0,0,0.9,0,0,0.1,0,"Cell92"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell93"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell94"
7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,1,"Cell95"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell96"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell97"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell98"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell99"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell100"
7,7,7,6,7,7,7,7,7,7,7,0,0,0,0,0,0.1,0.9,"Cell101"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell102"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell103"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell104"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell105"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell106"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell107"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell108"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell109"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell110"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell111"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell112"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell113"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell114"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell115"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell116"
3,6,3,3,3,3,3,3,3,3,3,0,0,0.9,0,0,0.1,0,"Cell117"
7,7,7,6,7,7,7,7,7,7,7,0,0,0,0,0,0.1,0.9,"Cell118"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell119"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell120"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell121"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell122"
